UE,UX,BSAT,n_cases,raw_consistency,PRI,OUT,status
1,0,1,19,0.8830965718420042,0.6981427690626295,0,not_sufficient
1,1,1,74,0.8569571634189697,0.7372810429436354,1,sufficient
0,1,1,34,0.852642970334967,0.6642154932941968,0,not_sufficient
0,0,1,30,0.8174315442105723,0.5421691445140362,0,not_sufficient
1,1,0,27,0.7637143920017219,0.44336673538618243,0,not_sufficient
0,1,0,26,0.7437045499786734,0.36574451437927935,0,not_sufficient
1,0,0,36,0.6868290490877624,0.30316003368677324,0,not_sufficient
0,0,0,66,0.5704874424138805,0.18950170640980687,0,not_sufficient
