Path,Beta,SE,t,p,CI_2_5,CI_97_5,Significant
UE->BSAT,-0.045043969727406714,0.07940360221853986,-0.56727866833338,0.5709341032027644,-0.16957098409787544,0.11618336006080471,No
UX->BSAT,0.10258315532561182,0.07676095580432864,1.336397576746003,0.18239626916986684,-0.1016491392605005,0.21564350659621603,No
UE->BSUC,0.061495544286350186,0.08109469627848309,0.7583177089062831,0.44883507347517226,-0.12596718379234995,0.16723256535243017,No
UX->BSUC,-0.0600746107412921,0.07698841754099725,-0.7803071248905935,0.4358035969329186,-0.18222301448836078,0.1144229905695146,No
BSAT->BSUC,0.028296845741773834,0.0675322809451612,0.419012142722559,0.6754965044815919,-0.10883368140708215,0.14199804222683624,No
