Hypothesis,Path,Beta,SE,t,p,CI_2.5%,CI_97.5%,f2,Supported
H5,BSAT -> BSUC,0.4756415114019445,0.04687595860755375,10.146811404626892,0.0,0.3817823766539212,0.5662110243270752,0.25633845070051314,Yes
H1,UE -> BSAT,0.15689879855367989,0.054279464467786635,2.8905738126210694,0.0038453921597374485,0.05160582779035391,0.26592244698662315,0.027498066405068362,Yes
H3,UE -> BSUC,0.08784522532718116,0.0483735222194569,1.8159774458566895,0.06937383196222435,-0.003622600047272428,0.18500873506913723,0.009505445664468875,No
H2,UX -> BSAT,0.3928078079526359,0.051739843388963466,7.59197906726608,3.1530333899354446e-14,0.29064810877015806,0.4943068338222672,0.17235470521987623,Yes
H4,UX -> BSUC,0.09529561198899668,0.053679792658316385,1.7752604335783129,0.07585489523856981,-0.007782475817216828,0.20320387458607367,0.00980401463061327,No
